Start:   clients
··Start:   one round
····Start:   train model
······Start:   retrieve the model
······End:     retrieve the model ..................................................5.351ms
····End:     train model ...........................................................1.5s
····Start:   upload data
······Start:   encrypt the gradients
······End:     encrypt the gradients ...............................................892.385ms
······Start:   upload the mc+proof generation
······End:     upload the mc+proof generation ......................................8.251s
······Start:   upload the data
······End:     upload the data .....................................................1.615s
····End:     upload data ...........................................................10.761s
····Start:   verify the data
······Start:   verify
········Start:   receive verify
········End:     receive verify ....................................................25.362s
········Start:   verify the proofs
········End:     verify the proofs .................................................120.683ms
······End:     verify the data .....................................................25.483s
····End:     one round .............................................................37.250s
··End:     clients .................................................................37.381s
