Start:   clients
··Start:   one round
····Start:   train model
······Start:   retrieve the model
······End:     retrieve the model ..................................................3.769ms
····End:     train model ...........................................................1.3s
····Start:   upload data
······Start:   encrypt the gradients
······End:     encrypt the gradients ...............................................892.126ms
······Start:   upload the mc+proof generation
······End:     upload the mc+proof generation ......................................8.251s
······Start:   upload the data
······End:     upload the data .....................................................1.602s
····End:     upload data ...........................................................10.747s
····Start:   verify the data
······Start:   verify
········Start:   receive verify
········End:     receive verify ....................................................25.383s
········Start:   verify the proofs
········End:     verify the proofs .................................................125.310ms
······End:     verify the data .....................................................25.510s
····End:     one round .............................................................37.261s
··End:     clients .................................................................37.406s
